# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "result.txt" "./Aligned_Files/ERR2198545.sam" "./Aligned_Files/ERR2198546.sam" "./Aligned_Files/ERR2198547.sam" "./Aligned_Files/ERR2198548.sam" "./Aligned_Files/ERR2198593.sam" "./Aligned_Files/ERR2198594.sam" "./Aligned_Files/ERR2198595.sam" "./Aligned_Files/ERR2198596.sam" 
Geneid	Chr	Start	End	Strand	Length	./Aligned_Files/ERR2198545.sam	./Aligned_Files/ERR2198546.sam	./Aligned_Files/ERR2198547.sam	./Aligned_Files/ERR2198548.sam	./Aligned_Files/ERR2198593.sam	./Aligned_Files/ERR2198594.sam	./Aligned_Files/ERR2198595.sam	./Aligned_Files/ERR2198596.sam
YOL159C-A	XV	15233	15505	-	273	21	35	21	24	20	32	40	31
YOR051C	XV	424846	426084	-	1239	491	518	479	438	264	279	236	241
YOR003W	XV	331455	332891	+	1437	395	408	326	345	318	363	320	306
YOR064C	XV	446079	446738	-	660	653	732	593	632	579	568	439	517
YOR073W	XV	464771	466543	+	1773	301	362	270	252	223	231	167	220
YOR201C	XV	720470	721708	-	1239	398	410	343	380	359	402	278	224
YOR065W	XV	447439	448368	+	930	3017	3002	2647	2600	2414	2460	2144	2095
YOR186W	XV	683111	683545	+	435	25	25	29	31	40	49	45	35
YOR045W	XV	413852	414037	+	186	137	155	154	155	95	103	113	115
YOL018C	XV	290881	292074	-	1194	584	587	494	523	558	602	482	501
YOL133W	XV	70325	70690	+	366	67	67	57	70	52	62	59	67
YOR087W	XV	487707	489734	+	2028	472	479	435	367	375	420	412	375
YOL028C	XV	270633	271370	-	738	223	201	212	228	205	220	166	159
YOL086C	XV	159548	160594	-	1047	3360	3710	3189	3165	2812	2744	2362	2440
YOL108C	XV	111431	111886	-	456	436	465	405	461	304	308	343	284
YOL023W	XV	278056	280086	+	2031	422	408	329	361	323	277	281	247
YOR011W-A	XV	355652	355858	+	207	6	1	1	4	4	3	2	2
YOR165W	XV	644566	646896	+	2331	1117	1192	1032	1042	752	857	693	632
YOL068C	XV	200368	201879	-	1512	1037	1094	860	860	592	771	554	542
YOR138C	XV	584309	586324	-	2016	1217	1277	1136	1055	1103	1192	982	896
YOR016C	XV	360461	361084	-	624	464	481	376	456	352	408	315	309
YOL121C	XV;XV	92026;92831	92440;92850	-;-	435	578	583	508	452	468	476	416	467
YOL126C	XV	81787	82920	-	1134	4347	4677	3783	3870	4305	4382	3742	3751
YOR235W	XV	779870	780184	+	315	11	12	4	12	9	3	2	4
YOR080W	XV	474594	476792	+	2199	296	304	204	261	159	182	141	158
YOR169C	XV	651376	651840	-	465	0	1	1	0	0	0	0	0
YOR028C	XV	383533	384420	-	888	465	439	331	366	536	561	389	465
YOR225W	XV	761392	761721	+	330	41	27	38	27	35	31	39	25
YOR108C-A	XV	524605	524814	-	210	0	0	0	0	0	0	0	0
YOR109W	XV	525278	528601	+	3324	703	739	610	610	408	467	347	339
YOL093W	XV	142815	143696	+	882	598	661	567	515	413	499	469	447
YOR147W	XV	606607	608475	+	1869	847	810	716	726	481	578	460	411
YOR218C	XV	751476	751895	-	420	0	0	0	1	0	1	0	0
YOR254C	XV	805032	807023	-	1992	1160	1186	1080	1054	790	728	666	643
YOL080C	XV	180558	181427	-	870	81	117	63	76	49	74	45	33
YOR161W-B	XV	637975	638235	+	261	0	0	0	0	0	0	0	0
tY(GUA)O	XV;XV	288192;288245	288230;288280	+;+	75	0	2	1	1	0	0	0	0
YOR136W	XV	580250	581359	+	1110	929	1106	900	926	1130	1170	1100	1084
tR(ACG)O	XV	340299	340371	-	73	1	1	0	0	0	0	2	0
YOR192C-C	XV	703988	704224	-	237	24	11	27	33	7	16	15	18
YOR205C	XV	725564	727234	-	1671	411	468	400	388	347	341	319	246
YOR200W	XV	720417	720815	+	399	0	0	0	0	0	0	0	0
YOR305W	XV	889022	889750	+	729	256	228	207	172	179	177	143	138
YOR195W	XV	712866	715331	+	2466	975	1012	948	856	458	424	422	486
YOL123W	XV	87844	89448	+	1605	1959	2087	1715	1820	2037	2040	1715	1790
YOR097C	XV	506978	507505	-	528	423	455	401	380	270	298	270	213
YOL083C-A	XV	166461	166601	-	141	0	0	0	0	0	0	0	0
YOL086W-A	XV	159173	159445	+	273	442	452	414	369	431	466	375	355
YOR337W	XV	954344	956623	+	2280	605	575	430	537	393	396	310	325
YOL100W	XV	129237	132482	+	3246	1181	1275	937	1036	842	810	761	674
YOR289W	XV	853357	854112	+	756	1474	1532	1336	1372	964	993	823	822
YOR255W	XV	807271	808107	+	837	10	22	14	16	12	3	14	18
YOR304W	XV	884514	887876	+	3363	1098	1096	1002	1006	651	613	580	545
YOL163W	XV	9597	10106	+	510	111	132	105	91	129	164	110	130
YOR077W	XV	471899	472597	+	699	197	232	207	217	194	210	158	156
YOR074C	XV	466675	467589	-	915	194	225	199	197	148	152	126	127
YOR117W	XV	545029	546333	+	1305	1924	2025	1735	1802	1462	1379	1255	1226
YOR055W	XV	429478	429912	+	435	19	30	25	21	7	3	7	3
YOL166W-A	XV	585	740	+	156	0	0	0	0	0	0	0	0
YOL066C	XV	202696	204471	-	1776	484	488	366	412	407	452	384	363
YOR396W	XV	1085473	1090863	+	5391	4	0	0	0	0	0	0	0
YOR161C-C	XV	639121	639267	-	147	12	21	7	3	15	11	12	11
tV(AAC)O	XV	663812	663885	-	74	5	1	1	6	4	6	3	2
YOR151C	XV	612997	616671	-	3675	1760	1756	1656	1606	1293	1293	1069	1128
YOR187W	XV	684030	685343	+	1314	1881	2083	1715	1780	1595	1685	1322	1448
YOL001W	XV	325249	326130	+	882	254	213	195	239	203	195	153	156
YOR005C	XV	334509	337343	-	2835	623	711	633	608	569	554	462	473
YOR199W	XV	720181	720510	+	330	80	92	72	64	66	68	46	60
YOR355W	XV	1005137	1006705	+	1569	2087	2267	1842	1854	1203	1227	987	964
YOR290C	XV	855147	860258	-	5112	1999	2039	1820	1831	1424	1529	1284	1253
YOR396C-A	XV	1090015	1090497	-	483	0	0	0	0	0	0	0	0
YOR047C	XV	416347	417681	-	1335	278	277	201	233	154	176	118	127
YOL014W	XV	299693	300067	+	375	18	13	3	13	10	11	15	19
YOR244W	XV	792531	793868	+	1338	598	654	556	554	357	399	343	306
YOL102C	XV	125997	126689	-	693	339	257	250	231	188	147	178	152
YOL060C	XV	214017	216137	-	2121	2130	2332	1929	1955	1865	1933	1663	1649
YOL041C	XV	251267	252646	-	1380	671	654	647	634	399	450	373	351
YOL116W	XV	99809	100957	+	1149	312	341	280	302	290	352	261	277
YOR353C	XV	998453	1000828	-	2376	643	720	614	585	452	488	417	358
YOR299W	XV	878435	880675	+	2241	357	301	307	310	272	307	260	263
YOR366W	XV	1025256	1025609	+	354	0	0	1	1	0	0	1	0
tD(GUC)O	XV	571958	572029	+	72	0	0	2	0	2	0	0	0
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	642	599	598	567	509	578	501	466
YOR148C	XV	608640	609197	-	558	431	425	406	383	341	319	284	280
YOR301W	XV	880965	882272	+	1308	189	212	159	160	134	181	159	167
YOR257W	XV	811008	811493	+	486	819	892	700	838	573	668	493	482
YOR135C	XV	580159	580500	-	342	50	44	43	61	46	47	42	47
YOR032W-A	XV	392176	392376	+	201	13	20	22	27	25	41	11	19
YOR223W	XV	759782	760660	+	879	493	506	406	393	470	500	430	406
YOR076C	XV	469377	471620	-	2244	476	406	366	398	285	306	292	258
YOR231C-A	XV	773163	773363	-	201	0	0	0	0	0	0	0	0
YOR316C-A	XV	907726	907935	-	210	2	0	1	4	2	2	3	2
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	0	0	0	0	0	0	0	0
YOR061W	XV	441534	442553	+	1020	1280	1323	1124	1130	857	938	701	745
YOR025W	XV	378219	379562	+	1344	345	356	315	352	302	322	268	263
YOR371C	XV	1031489	1034182	-	2694	310	357	296	345	283	325	236	219
YOL140W	XV	58759	60030	+	1272	643	673	570	511	403	437	337	376
YOL062C	XV	210520	211995	-	1476	425	508	407	406	370	399	296	293
YOR292C	XV	865653	866582	-	930	247	288	202	215	184	241	200	226
tG(UCC)O	XV	110962	111033	-	72	0	0	0	0	0	0	0	0
YOR027W	XV	381053	382822	+	1770	15808	16914	14220	14354	12265	13103	11147	11122
tT(AGU)O2	XV	354041	354113	-	73	0	0	0	0	0	0	0	0
YOR142W-B	XV	595112	600380	+	5269	43	63	27	40	59	44	54	48
YOR192C-A	XV	708416	709732	-	1317	0	0	0	0	0	0	0	0
YOL103W-B	XV	118000	123268	+	5269	39	50	25	36	59	43	57	44
YOR142W-A	XV	595112	596434	+	1323	0	0	0	0	0	0	0	0
YOR192C-B	XV	704419	709732	-	5314	69	89	54	67	64	76	47	63
YOR343W-B	XV	970578	975891	+	5314	144	176	146	132	116	167	102	98
YOR343W-A	XV	970578	971894	+	1317	0	0	0	0	0	0	0	0
YOL103W-A	XV	118000	119322	+	1323	0	0	0	0	0	0	0	0
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	701	834	719	651	554	642	566	511
YGL156W	VII	210416	213667	+	3252	3355	3617	2890	2939	2338	2519	2037	2172
YGL015C	VII	465043	465435	-	393	4	5	2	3	9	5	2	7
RME2	VII	141898	144120	-	2223	0	1	0	1	2	2	0	0
YGR251W	VII	995639	996229	+	591	228	277	214	270	213	248	199	163
YGR162W	VII	824059	826917	+	2859	2069	2144	1760	1764	1310	1363	1092	1103
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	0	0	0	0	0	0	0	0
YGR005C	VII	504657	505859	-	1203	1317	1289	1143	1105	993	1125	998	956
YGL160W	VII	200561	202273	+	1713	1460	1475	1306	1206	1059	1065	834	886
snR46	VII	545370	545566	+	197	4	11	8	7	13	2	4	12
tD(GUC)G1	VII	531610	531681	+	72	0	0	0	0	1	0	0	0
YGL211W	VII	92512	93591	+	1080	375	403	296	329	327	339	260	307
YGR141W	VII	770569	771972	+	1404	967	1184	894	930	835	877	727	692
YGL239C	VII	49431	49745	-	315	6	9	2	3	2	3	1	3
YGL097W	VII	321782	323230	+	1449	387	316	285	329	279	304	244	255
YGR030C	VII	545681	546157	-	477	217	230	164	189	89	106	88	75
YGR224W	VII	942806	944647	+	1842	156	207	169	172	143	208	148	175
YGR142W	VII	772454	773686	+	1233	4744	4831	4254	4182	3486	3743	3264	3121
YGR186W	VII	867774	869981	+	2208	1472	1579	1419	1425	1263	1276	1092	1155
YGR181W	VII	858287	858604	+	318	144	131	114	112	104	106	128	101
YGL081W	VII	357377	358339	+	963	186	234	174	202	170	155	148	153
YGR082W	VII	644044	644595	+	552	347	324	287	335	269	308	179	240
YGL028C	VII	441281	442909	-	1629	578	633	558	529	528	578	436	437
YGL021W	VII	454785	457067	+	2283	1075	1068	935	935	980	1089	966	901
YGL110C	VII	301537	303411	-	1875	687	729	688	599	440	593	407	491
YGR167W	VII	832456	833157	+	702	1976	1986	1766	1663	1387	1454	1286	1246
YGL017W	VII	459854	461365	+	1512	166	191	166	164	141	143	141	125
tA(UGC)G	VII	794417	794489	+	73	2	0	1	0	1	0	0	2
YGR156W	VII	800546	801823	+	1278	542	585	508	505	441	518	391	403
YGR291C	VII	1076283	1076504	-	222	1	0	5	0	2	1	1	1
YGR197C	VII	892497	894140	-	1644	362	404	287	318	295	298	235	285
YGR041W	VII	577487	579130	+	1644	227	219	178	183	164	172	209	189
YGL079W	VII	359444	360100	+	657	236	208	191	173	165	174	163	147
YGL107C	VII	304333	306273	-	1941	550	617	494	465	434	444	385	347
YGL168W	VII	187464	187796	+	333	19	35	21	28	14	12	16	12
YGL228W	VII	67598	69331	+	1734	1964	1991	1651	1735	1494	1596	1341	1298
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	1347	1188	1049	1139	887	951	864	829
YGL050W	VII	405776	406597	+	822	471	516	464	446	370	412	328	290
YGR273C	VII	1038715	1039239	-	525	4	3	7	3	6	6	7	3
YGR086C	VII	649598	650617	-	1020	9468	10090	8331	8454	7565	8186	6651	6803
YGR228W	VII	949365	949709	+	345	0	1	0	0	0	0	0	0
YGL145W	VII	230243	232348	+	2106	618	640	553	590	469	473	406	399
YGR098C	VII	682566	687458	-	4893	434	441	360	313	264	255	225	217
YGR074W	VII	635712	636152	+	441	24	22	25	21	19	19	23	18
YGL098W	VII	317342	318079	+	738	434	500	386	397	361	356	319	282
snR7-S	VII	939494	939672	-	179	0	0	0	0	0	0	0	0
YGL096W	VII	325331	326161	+	831	407	512	365	481	417	438	340	365
YGR240C-A	VII	974577	974777	-	201	37	34	47	30	27	21	24	16
YGR172C	VII	842845	843591	-	747	203	287	145	204	239	217	181	189
YGR194C	VII	886073	887875	-	1803	731	669	683	718	643	649	522	505
YGL026C	VII	446412	448535	-	2124	1771	1813	1567	1597	1169	1103	953	928
YGL213C	VII	90054	91247	-	1194	192	212	211	192	253	176	162	130
YGL248W	VII	35653	36762	+	1110	672	737	640	586	554	507	477	440
YGL075C	VII	366925	368088	-	1164	153	170	112	120	109	134	114	108
YGL256W	VII	15159	16307	+	1149	207	257	230	201	264	233	215	211
YGL012W	VII	472855	474276	+	1422	768	833	710	703	644	696	554	551
YGL082W	VII	355827	356972	+	1146	910	987	776	820	766	848	733	738
YGR161C	VII	808629	809420	-	792	4824	5128	4545	4354	3069	3064	2543	2506
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	0	0	0	0	0	2	0	0
YGR274C	VII	1039895	1043095	-	3201	806	806	665	697	568	557	403	503
YGR031C-A	VII	546809	547300	-	492	0	0	0	0	0	0	0	0
YGL037C	VII	427297	427947	-	651	4383	4773	3907	3888	4033	4330	3486	3553
YGL252C	VII	25718	27484	-	1767	1138	1157	994	975	882	967	801	771
YGL250W	VII	31910	32635	+	726	246	226	251	214	254	255	200	217
YGR260W	VII	1012485	1014089	+	1605	1141	1275	1028	1029	969	967	846	868
YGR159C	VII	806412	807656	-	1245	635	680	689	620	453	460	421	353
YGR006W	VII	506070	506825	+	756	201	184	147	145	156	184	165	177
YGL121C	VII	280777	281157	-	381	1263	1370	1184	1131	1238	1188	1104	978
YGL040C	VII	419527	420555	-	1029	757	749	670	627	549	592	424	504
YGR130C	VII	751394	753844	-	2451	3983	4228	3603	3565	3358	3482	3061	2964
YGR021W	VII	527632	528504	+	873	447	432	432	465	452	406	411	387
YGR097W	VII	678695	682135	+	3441	1377	1431	1180	1110	848	1005	815	774
YGL170C	VII	184153	185394	-	1242	44	51	20	49	29	29	37	21
YGL166W	VII	191129	191806	+	678	88	117	73	84	86	65	69	47
YGL104C	VII	308713	310173	-	1461	235	225	227	207	182	225	157	186
YGR149W	VII	789031	790329	+	1299	908	964	742	821	669	665	494	555
YGR195W	VII	888882	889622	+	741	140	120	121	122	112	135	73	117
tG(GCC)G2	VII	930953	931023	-	71	0	0	0	0	0	0	0	0
YGR250C	VII	991176	993521	-	2346	3700	4082	3361	3607	2584	2683	2297	2327
YGL155W	VII	214081	215211	+	1131	405	430	358	381	336	357	266	269
YGL216W	VII	84885	87302	+	2418	462	458	436	409	378	372	334	341
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	511	549	455	492	507	469	397	451
YGL125W	VII	272520	274322	+	1803	1527	1564	1346	1393	1087	1091	874	919
YGR038W	VII	560682	561350	+	669	257	220	253	245	227	275	231	192
YGR008C	VII	508110	508364	-	255	2171	2329	1904	1979	1864	2024	1761	1768
YGR248W	VII	985972	986739	+	768	934	1020	866	828	915	949	800	775
YGL094C	VII	331118	334465	-	3348	578	557	530	527	387	372	390	374
YGR131W	VII	754726	755250	+	525	52	44	41	17	23	19	28	32
YGR163W	VII	827552	828577	+	1026	641	747	594	621	625	630	538	592
YGR125W	VII	742325	745435	+	3111	787	819	718	655	495	510	469	475
YGR279C	VII	1048798	1049958	-	1161	1384	1353	1318	1147	1634	1633	1472	1413
YGL022W	VII	452404	454560	+	2157	1584	1598	1479	1436	1293	1346	1108	1199
tD(GUC)G2	VII	544577	544648	-	72	3	13	2	1	3	3	3	7
YGR271W	VII	1031791	1037694	+	5904	442	494	386	399	309	375	274	299
YGL025C	VII	448764	449957	-	1194	644	658	645	603	514	529	476	484
YGL176C	VII	171415	173079	-	1665	335	341	306	324	234	204	173	214
YGR031W	VII	546441	547469	+	1029	423	388	397	366	403	409	369	383
YGL102C	VII	311505	311933	-	429	7	7	10	6	6	6	4	6
YGR182C	VII	858551	858904	-	354	436	427	333	380	338	369	266	281
YGR025W	VII	532639	532941	+	303	65	73	83	55	27	32	20	21
YGL113W	VII	295932	297938	+	2007	339	329	292	264	294	304	247	222
YGR188C	VII	872044	875109	-	3066	354	375	286	285	241	233	213	210
YGL162W	VII	198138	199037	+	900	114	160	138	163	76	124	88	96
YGL084C	VII	350616	352298	-	1683	638	651	601	563	488	466	451	440
snR10	VII	345986	346230	+	245	5	1	3	2	3	3	3	4
YGL196W	VII	129883	131169	+	1287	981	1050	868	837	675	727	591	581
RME3	VII	33109	35013	-	1905	0	0	0	0	0	0	0	0
YGR230W	VII	951894	952307	+	414	316	331	277	273	348	323	273	322
YGR084C	VII	647123	648142	-	1020	563	524	488	498	540	510	415	454
YGL222C	VII	80659	81186	-	528	207	291	206	227	169	192	133	154
YGR166W	VII	830515	832197	+	1683	422	373	345	355	285	300	227	170
YGR122C-A	VII	735630	735758	-	129	19	31	20	25	23	22	20	17
YGR152C	VII	794674	795492	-	819	337	401	303	287	184	206	193	184
YGL210W	VII	93792	94460	+	669	788	770	699	614	598	581	618	503
YGR265W	VII	1021648	1022058	+	411	11	23	9	7	12	3	9	8
YGR157W	VII	802440	805049	+	2610	1441	1378	1171	1144	783	895	681	754
YGL240W	VII	48613	49365	+	753	64	63	53	49	59	69	38	28
YGR085C	VII	648383	648907	-	525	640	662	550	493	566	515	424	470
YGR237C	VII	963298	965655	-	2358	816	963	800	789	745	788	607	609
YGL146C	VII	228751	229686	-	936	209	234	208	230	249	248	218	203
YGL153W	VII	216273	217298	+	1026	269	279	260	243	245	301	260	228
YGR075C	VII	636147	636875	-	729	154	149	111	111	112	115	83	102
tT(UGU)G2	VII	1004216	1004287	+	72	2	0	0	0	0	0	0	0
YGL169W	VII	186059	187339	+	1281	317	318	279	288	270	225	199	190
YGR187C	VII	870232	871416	-	1185	543	549	518	506	345	356	265	295
YGL167C	VII	187616	190468	-	2853	1387	1474	1386	1233	1065	1098	978	885
YGR050C	VII	592086	592442	-	357	115	101	76	68	71	59	55	59
YGR035W-A	VII	557565	557786	+	222	64	116	85	86	140	84	96	113
YGR217W	VII	924696	930815	+	6120	298	346	291	358	203	227	216	183
YGR068C	VII	625324	627084	-	1761	178	229	167	191	149	174	160	120
YGR296W	VII;VII	1084864;1085031	1084882;1090591	+;+	5580	4	11	5	13	12	20	15	7
YGR177C	VII	848829	850436	-	1608	79	77	62	74	42	40	39	51
YGL068W	VII	375087	375671	+	585	58	43	46	40	45	44	41	42
tN(GUU)G	VII	731137	731210	+	74	0	0	1	0	0	0	0	0
YGL018C	VII	459110	459664	-	555	131	176	134	109	137	156	102	107
YGL188C	VII	149343	149516	-	174	78	94	89	81	74	70	49	54
YGR126W	VII	745835	746527	+	693	62	111	76	70	59	63	42	49
YGL065C	VII	379760	381271	-	1512	297	348	308	312	165	214	196	187
YGL014W	VII	466141	468807	+	2667	1134	1179	1030	989	823	825	682	627
YGL100W	VII	313234	314283	+	1050	695	824	629	705	572	596	549	516
YGR288W	VII	1070293	1071714	+	1422	204	237	205	167	150	210	115	147
YGL174W	VII	174545	175345	+	801	296	268	204	284	166	176	169	152
YGR211W	VII	915241	916701	+	1461	2473	2637	2247	2226	1907	2094	1773	1850
YGL204C	VII	111700	112005	-	306	130	147	141	136	85	105	82	77
YGR270W	VII	1027370	1031509	+	4140	1394	1429	1218	1166	1070	1093	910	896
YGR204W	VII	905934	908774	+	2841	3263	3513	2832	2955	2623	2669	2250	2213
YGR266W	VII	1022656	1024761	+	2106	744	731	579	600	444	547	445	417
YGL070C	VII	374459	374827	-	369	244	231	205	233	196	199	182	182
YGL225W	VII	76894	77907	+	1014	509	524	495	444	339	422	275	293
YGL120C	VII	281634	283937	-	2304	508	519	488	458	304	316	256	259
tE(UUC)G1	VII	328583	328654	+	72	11	7	8	7	4	4	5	1
YGR252W	VII	996869	998188	+	1320	625	645	524	544	480	445	402	423
YGL106W	VII	306560	307009	+	450	867	964	751	797	902	871	748	744
YGR284C	VII	1060658	1061590	-	933	1318	1374	1244	1136	1137	1226	997	975
YGR032W	VII	548264	553951	+	5688	4761	4880	4409	4169	2944	3059	2572	2588
YGR174C	VII	845893	846405	-	513	1294	1462	1181	1166	1179	1196	1030	1063
YGR208W	VII	911883	912812	+	930	254	191	159	209	142	164	127	129
YGL016W	VII	461666	464911	+	3246	341	299	242	266	188	224	171	208
YGR255C	VII	1002523	1003962	-	1440	811	920	704	647	544	632	494	480
YGR146C-A	VII	785276	785437	-	162	6	8	13	4	11	25	11	9
YGL194C	VII	140368	141726	-	1359	133	137	124	149	98	118	107	77
YGL138C	VII	248494	249531	-	1038	4	4	2	6	0	2	4	2
YGR091W	VII	666341	667825	+	1485	239	285	229	219	191	215	210	191
YGR200C	VII	899904	902270	-	2367	817	817	738	717	430	517	412	436
YGR191W	VII	880420	882231	+	1812	491	474	394	376	248	261	252	217
YGR270C-A	VII	1027382	1027600	-	219	0	0	0	0	0	0	0	0
YGL227W	VII	69671	72547	+	2877	1188	1223	1061	1120	924	1014	753	814
YGR081C	VII	643148	643780	-	633	401	367	370	344	223	215	270	197
YGL243W	VII	43307	44509	+	1203	367	372	294	357	221	261	242	211
YGL194C-A	VII	139719	139961	-	243	99	120	97	92	114	112	102	91
YGR148C	VII	787312	787779	-	468	1209	1126	1036	1139	949	1023	850	790
YGL136C	VII	252897	253859	-	963	498	479	420	455	363	418	363	383
YGR276C	VII	1043819	1045480	-	1662	691	662	564	548	501	482	423	412
YGL129C	VII	267723	269075	-	1353	613	651	497	547	418	409	388	348
tR(UCU)G2	VII	828723	828794	-	72	0	0	0	0	0	0	0	0
YGR053C	VII	594986	595837	-	852	139	136	115	112	77	84	80	92
YGR069W	VII	627083	627418	+	336	2	5	3	4	4	0	1	0
YGL224C	VII	78015	78857	-	843	473	488	403	378	310	289	262	240
YGL193C	VII	141916	142227	-	312	0	0	0	0	0	0	0	0
YGL020C	VII	457163	457870	-	708	322	342	273	292	313	236	246	200
YGL177W	VII	167559	167906	+	348	13	12	19	10	9	24	9	11
YGL189C	VII	148229	148588	-	360	1435	1519	1336	1345	1106	1219	1011	961
YGR122W	VII	733935	735143	+	1209	349	352	302	320	193	270	210	186
YGL003C	VII	492474	494174	-	1701	598	604	591	533	472	568	431	442
YGR210C	VII	913503	914738	-	1236	681	703	591	629	625	668	567	573
tG(GCC)G1	VII	845649	845719	+	71	0	0	0	0	0	0	0	1
YGR079W	VII	640720	641832	+	1113	225	213	239	208	177	168	116	134
YGL115W	VII	292033	293001	+	969	436	420	358	304	303	336	277	317
YGL105W	VII	307437	308567	+	1131	2137	2297	1869	1897	1634	1809	1636	1592
YGR026W	VII	532985	533821	+	837	922	975	721	780	635	644	561	525
YGR087C	VII	651290	652981	-	1692	1064	1095	945	980	1297	1322	1176	1091
YGR278W	VII	1046731	1048464	+	1734	388	413	351	325	324	335	288	281
YGR042W	VII	579476	580291	+	816	457	523	412	423	463	520	356	395
YGR043C	VII	580435	581436	-	1002	3022	2896	2562	2537	2763	2828	2445	2481
YGL165C	VII	191398	191976	-	579	7	4	6	9	2	4	1	3
YGR110W	VII	713709	715046	+	1338	667	677	600	584	471	464	384	340
YGR089W	VII	656960	659770	+	2811	741	783	665	692	612	656	481	501
YGL158W	VII	207033	208571	+	1539	25	26	20	14	7	17	12	10
YGR262C	VII	1016974	1017759	-	786	718	719	604	552	553	584	567	447
YGL200C	VII	122694	123305	-	612	1170	1211	1030	953	1000	1004	797	860
YGL117W	VII	288512	289309	+	798	740	814	669	719	532	517	443	448
YGL186C	VII	151037	152776	-	1740	563	597	479	610	306	432	328	367
YGR010W	VII	511545	512732	+	1188	455	503	400	427	440	443	387	389
YGR198W	VII	894693	897146	+	2454	447	423	349	375	236	267	226	255
YGR137W	VII	762888	763262	+	375	32	45	42	35	16	25	17	21
YGL058W	VII	393986	394504	+	519	459	506	475	386	380	392	375	381
YGL226W	VII	73340	73711	+	372	310	305	238	264	276	310	256	236
YGL055W	VII	398628	400160	+	1533	14572	15682	13368	13193	11033	11411	9809	9854
YGL184C	VII	154615	156012	-	1398	1453	1305	1215	1239	786	834	664	594
YGL024W	VII	449788	450123	+	336	0	2	0	3	1	0	1	0
tV(AAC)G3	VII	73829	73902	-	74	3	14	7	11	5	19	8	7
YGL151W	VII	217524	220922	+	3399	856	866	810	755	604	614	504	569
YGR101W	VII	693363	694403	+	1041	746	791	624	603	617	698	580	559
YGL230C	VII	63772	64215	-	444	24	13	8	12	11	10	13	20
YGR103W	VII	695417	697234	+	1818	1628	1766	1516	1445	801	892	764	740
YGR096W	VII	676621	677565	+	945	120	98	89	93	96	80	68	71
YGR112W	VII	717358	718527	+	1170	468	502	392	363	446	453	346	408
tI(AAU)G	VII	739122	739195	+	74	0	2	0	0	0	0	4	1
YGL013C	VII	469092	472298	-	3207	1124	1242	1023	983	827	850	760	675
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	1078	943	787	812	671	725	620	580
YGR067C	VII	622372	624786	-	2415	1954	2087	1740	1730	1722	1714	1669	1532
YGR094W	VII	672186	675500	+	3315	2310	2513	2121	2124	1762	1849	1555	1577
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	206	243	218	201	142	157	115	107
YGR045C	VII	583934	584296	-	363	65	61	47	48	35	47	36	40
YGR175C	VII	846933	848423	-	1491	4505	4610	4005	3981	2225	2199	1967	2013
YGL008C	VII	479910	482666	-	2757	8567	8894	7408	7379	6100	6443	5614	5358
YGR115C	VII	720372	721151	-	780	0	0	0	0	0	0	0	0
YGR108W	VII	703636	705051	+	1416	427	430	342	378	260	310	226	238
YGR218W	VII	932541	935795	+	3255	2090	2147	1768	1859	1243	1292	1162	1090
YGR205W	VII	909213	910085	+	873	380	427	359	381	362	442	363	356
YGL073W	VII	368753	371254	+	2502	1214	1330	1144	1155	1004	979	846	861
YGL009C	VII	476313	478652	-	2340	5590	5928	5091	4959	8805	8749	7752	7663
YGL095C	VII	328874	330607	-	1734	1286	1170	1096	970	716	702	534	581
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	1686	1712	1520	1543	1172	1356	1086	1139
YGL214W	VII	90010	90495	+	486	0	1	1	0	0	0	0	0
YGR105W	VII	698599	698832	+	234	181	193	151	187	110	79	94	110
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	379	348	264	278	286	291	245	235
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	0	0	1	0	1	2	0	1
YGL217C	VII	84839	85180	-	342	0	1	0	1	0	1	1	0
YGL173C	VII	175527	180113	-	4587	2453	2451	2167	2217	1598	1839	1572	1483
YGL086W	VII	347119	349368	+	2250	514	684	545	512	350	367	320	332
YGR223C	VII	940869	942215	-	1347	540	624	471	499	519	546	436	430
tS(AGA)G	VII	561662	561743	-	82	0	0	1	0	2	0	0	1
YGR077C	VII	637744	639513	-	1770	423	425	408	393	312	391	316	328
YGL052W	VII	403437	403742	+	306	50	61	47	67	33	36	41	30
YGR285C	VII	1061852	1063153	-	1302	1824	1994	1737	1614	1363	1367	1296	1248
YGL080W	VII	358636	359028	+	393	1537	1518	1385	1326	831	929	788	754
YGL207W	VII	98969	102076	+	3108	3167	3145	2744	2790	2206	2233	1975	2067
